State,Year,commodity,total_production
ALABAMA,1930,Milk,1134000000.0
ARIZONA,1930,Milk,194000000.0
ARKANSAS,1930,Milk,1092000000.0
CALIFORNIA,1930,Milk,4002000000.0
COLORADO,1930,Milk,1086000000.0
CONNECTICUT,1930,Milk,594000000.0
DELAWARE,1930,Milk,124000000.0
FLORIDA,1930,Milk,241000000.0
GEORGIA,1930,Milk,1066000000.0
IDAHO,1930,Milk,1000000000.0
ILLINOIS,1930,Milk,4650000000.0
INDIANA,1930,Milk,2931000000.0
IOWA,1930,Milk,5927000000.0
KANSAS,1930,Milk,3058000000.0
KENTUCKY,1930,Milk,1748000000.0
LOUISIANA,1930,Milk,533000000.0
MAINE,1930,Milk,661000000.0
MARYLAND,1930,Milk,752000000.0
MASSACHUSETTS,1930,Milk,767000000.0
MICHIGAN,1930,Milk,4014000000.0
MINNESOTA,1930,Milk,7590000000.0
MISSISSIPPI,1930,Milk,1212000000.0
MISSOURI,1930,Milk,3471000000.0
MONTANA,1930,Milk,793000000.0
NEBRASKA,1930,Milk,2806000000.0
NEVADA,1930,Milk,116000000.0
NEW HAMPSHIRE,1930,Milk,382000000.0
NEW JERSEY,1930,Milk,730000000.0
NEW MEXICO,1930,Milk,221000000.0
NEW YORK,1930,Milk,7068000000.0
NORTH CAROLINA,1930,Milk,1082000000.0
NORTH DAKOTA,1930,Milk,2136000000.0
OHIO,1930,Milk,4117000000.0
OKLAHOMA,1930,Milk,2217000000.0
OREGON,1930,Milk,1265000000.0
PENNSYLVANIA,1930,Milk,4322000000.0
RHODE ISLAND,1930,Milk,133000000.0
SOUTH CAROLINA,1930,Milk,496000000.0
SOUTH DAKOTA,1930,Milk,2197000000.0
TENNESSEE,1930,Milk,1592000000.0
TEXAS,1930,Milk,3655000000.0
UTAH,1930,Milk,575000000.0
VERMONT,1930,Milk,1291000000.0
VIRGINIA,1930,Milk,1234000000.0
WASHINGTON,1930,Milk,1663000000.0
WEST VIRGINIA,1930,Milk,731000000.0
WISCONSIN,1930,Milk,11207000000.0
WYOMING,1930,Milk,282000000.0
