State,commodity,Year,target_year,target_next_year_production,total_production,production_lag_1,production_lag_2,production_lag_3,rolling_3_mean,rolling_5_mean,yoy_pct_change,state_share_of_commodity,production_rank_in_commodity_year,years_observed_so_far,expanding_mean_to_date
ALABAMA,Milk,1930,1931,1167000000.0,1134000000.0,,,,1134000000.0,1134000000.0,,0.011322111064518062,25.0,1,1134000000.0
ARIZONA,Milk,1930,1931,200000000.0,194000000.0,,,,194000000.0,194000000.0,,0.0019369396353761058,45.0,1,194000000.0
ARKANSAS,Milk,1930,1931,1167000000.0,1092000000.0,,,,1092000000.0,1092000000.0,,0.01090277361768406,26.0,1,1092000000.0
CALIFORNIA,Milk,1930,1931,4052000000.0,4002000000.0,,,,4002000000.0,4002000000.0,,0.03995686814832564,9.0,1,4002000000.0
COLORADO,Milk,1930,1931,1062000000.0,1086000000.0,,,,1086000000.0,1086000000.0,,0.010842868268136345,27.0,1,1086000000.0
CONNECTICUT,Milk,1930,1931,619000000.0,594000000.0,,,,594000000.0,594000000.0,,0.005930629605223747,37.0,1,594000000.0
DELAWARE,Milk,1930,1931,126000000.0,124000000.0,,,,124000000.0,124000000.0,,0.0012380438906527686,47.0,1,124000000.0
FLORIDA,Milk,1930,1931,251000000.0,241000000.0,,,,241000000.0,241000000.0,,0.0024061982068332034,43.0,1,241000000.0
GEORGIA,Milk,1930,1931,1068000000.0,1066000000.0,,,,1066000000.0,1066000000.0,,0.010643183769643962,29.0,1,1066000000.0
IDAHO,Milk,1930,1931,1027000000.0,1000000000.0,,,,1000000000.0,1000000000.0,,0.009984224924619102,30.0,1,1000000000.0
ILLINOIS,Milk,1930,1931,4727000000.0,4650000000.0,,,,4650000000.0,4650000000.0,,0.04642664589947882,5.0,1,4650000000.0
INDIANA,Milk,1930,1931,3085000000.0,2931000000.0,,,,2931000000.0,2931000000.0,,0.02926376325405859,13.0,1,2931000000.0
IOWA,Milk,1930,1931,5948000000.0,5927000000.0,,,,5927000000.0,5927000000.0,,0.059176501128217415,4.0,1,5927000000.0
KANSAS,Milk,1930,1931,3215000000.0,3058000000.0,,,,3058000000.0,3058000000.0,,0.030531759819485214,12.0,1,3058000000.0
KENTUCKY,Milk,1930,1931,1809000000.0,1748000000.0,,,,1748000000.0,1748000000.0,,0.01745242516823419,18.0,1,1748000000.0
LOUISIANA,Milk,1930,1931,552000000.0,533000000.0,,,,533000000.0,533000000.0,,0.005321591884821981,39.0,1,533000000.0
MAINE,Milk,1930,1931,663000000.0,661000000.0,,,,661000000.0,661000000.0,,0.006599572675173226,36.0,1,661000000.0
MARYLAND,Milk,1930,1931,770000000.0,752000000.0,,,,752000000.0,752000000.0,,0.007508137143313565,33.0,1,752000000.0
MASSACHUSETTS,Milk,1930,1931,755000000.0,767000000.0,,,,767000000.0,767000000.0,,0.007657900517182851,32.0,1,767000000.0
MICHIGAN,Milk,1930,1931,4217000000.0,4014000000.0,,,,4014000000.0,4014000000.0,,0.040076678847421075,8.0,1,4014000000.0
MINNESOTA,Milk,1930,1931,7727000000.0,7590000000.0,,,,7590000000.0,7590000000.0,,0.07578026717785898,2.0,1,7590000000.0
MISSISSIPPI,Milk,1930,1931,1287000000.0,1212000000.0,,,,1212000000.0,1212000000.0,,0.012100880608638351,24.0,1,1212000000.0
MISSOURI,Milk,1930,1931,3627000000.0,3471000000.0,,,,3471000000.0,3471000000.0,,0.0346552447133529,11.0,1,3471000000.0
MONTANA,Milk,1930,1931,743000000.0,793000000.0,,,,793000000.0,793000000.0,,0.007917490365222948,31.0,1,793000000.0
NEBRASKA,Milk,1930,1931,2864000000.0,2806000000.0,,,,2806000000.0,2806000000.0,,0.0280157351384812,14.0,1,2806000000.0
NEVADA,Milk,1930,1931,108000000.0,116000000.0,,,,116000000.0,116000000.0,,0.0011581700912558159,48.0,1,116000000.0
NEW HAMPSHIRE,Milk,1930,1931,379000000.0,382000000.0,,,,382000000.0,382000000.0,,0.003813973921204497,41.0,1,382000000.0
NEW JERSEY,Milk,1930,1931,736000000.0,730000000.0,,,,730000000.0,730000000.0,,0.007288484194971944,35.0,1,730000000.0
NEW MEXICO,Milk,1930,1931,228000000.0,221000000.0,,,,221000000.0,221000000.0,,0.0022065137083408216,44.0,1,221000000.0
NEW YORK,Milk,1930,1931,7367000000.0,7068000000.0,,,,7068000000.0,7068000000.0,,0.07056850176720782,3.0,1,7068000000.0
NORTH CAROLINA,Milk,1930,1931,1162000000.0,1082000000.0,,,,1082000000.0,1082000000.0,,0.010802931368437869,28.0,1,1082000000.0
NORTH DAKOTA,Milk,1930,1931,2268000000.0,2136000000.0,,,,2136000000.0,2136000000.0,,0.0213263044389864,17.0,1,2136000000.0
OHIO,Milk,1930,1931,4278000000.0,4117000000.0,,,,4117000000.0,4117000000.0,,0.04110505401465684,7.0,1,4117000000.0
OKLAHOMA,Milk,1930,1931,2366000000.0,2217000000.0,,,,2217000000.0,2217000000.0,,0.022135026657880547,15.0,1,2217000000.0
OREGON,Milk,1930,1931,1307000000.0,1265000000.0,,,,1265000000.0,1265000000.0,,0.012630044529643164,22.0,1,1265000000.0
PENNSYLVANIA,Milk,1930,1931,4427000000.0,4322000000.0,,,,4322000000.0,4322000000.0,,0.04315182012420376,6.0,1,4322000000.0
RHODE ISLAND,Milk,1930,1931,132000000.0,133000000.0,,,,133000000.0,133000000.0,,0.0013279019149743405,46.0,1,133000000.0
SOUTH CAROLINA,Milk,1930,1931,526000000.0,496000000.0,,,,496000000.0,496000000.0,,0.0049521755626110745,40.0,1,496000000.0
