State,Year,commodity,status,existing_total_production,bulk_total_production,difference,pct_difference
ARIZONA,1930,Milk,added,,194000000.0,,
CALIFORNIA,1930,Milk,added,,4002000000.0,,
CONNECTICUT,1930,Milk,added,,594000000.0,,
DELAWARE,1930,Milk,added,,124000000.0,,
FLORIDA,1930,Milk,added,,241000000.0,,
GEORGIA,1930,Milk,added,,1066000000.0,,
ILLINOIS,1930,Milk,added,,4650000000.0,,
IOWA,1930,Milk,added,,5927000000.0,,
LOUISIANA,1930,Milk,added,,533000000.0,,
MAINE,1930,Milk,added,,661000000.0,,
MARYLAND,1930,Milk,added,,752000000.0,,
MASSACHUSETTS,1930,Milk,added,,767000000.0,,
MINNESOTA,1930,Milk,added,,7590000000.0,,
MISSISSIPPI,1930,Milk,added,,1212000000.0,,
MISSOURI,1930,Milk,added,,3471000000.0,,
MONTANA,1930,Milk,added,,793000000.0,,
NEBRASKA,1930,Milk,added,,2806000000.0,,
NEVADA,1930,Milk,added,,116000000.0,,
NEW HAMPSHIRE,1930,Milk,added,,382000000.0,,
NEW JERSEY,1930,Milk,added,,730000000.0,,
NEW MEXICO,1930,Milk,added,,221000000.0,,
NORTH DAKOTA,1930,Milk,added,,2136000000.0,,
OREGON,1930,Milk,added,,1265000000.0,,
RHODE ISLAND,1930,Milk,added,,133000000.0,,
SOUTH CAROLINA,1930,Milk,added,,496000000.0,,
SOUTH DAKOTA,1930,Milk,added,,2197000000.0,,
VERMONT,1930,Milk,added,,1291000000.0,,
WASHINGTON,1930,Milk,added,,1663000000.0,,
WEST VIRGINIA,1930,Milk,added,,731000000.0,,
WISCONSIN,1930,Milk,added,,11207000000.0,,
ARIZONA,1931,Milk,added,,200000000.0,,
CALIFORNIA,1931,Milk,added,,4052000000.0,,
CONNECTICUT,1931,Milk,added,,619000000.0,,
DELAWARE,1931,Milk,added,,126000000.0,,
FLORIDA,1931,Milk,added,,251000000.0,,
GEORGIA,1931,Milk,added,,1068000000.0,,
IOWA,1931,Milk,added,,5948000000.0,,
LOUISIANA,1931,Milk,added,,552000000.0,,
MAINE,1931,Milk,added,,663000000.0,,
MARYLAND,1931,Milk,added,,770000000.0,,
MASSACHUSETTS,1931,Milk,added,,755000000.0,,
MINNESOTA,1931,Milk,added,,7727000000.0,,
MISSISSIPPI,1931,Milk,added,,1287000000.0,,
MISSOURI,1931,Milk,added,,3627000000.0,,
MONTANA,1931,Milk,added,,743000000.0,,
NEBRASKA,1931,Milk,added,,2864000000.0,,
NEVADA,1931,Milk,added,,108000000.0,,
NEW HAMPSHIRE,1931,Milk,added,,379000000.0,,
NEW MEXICO,1931,Milk,added,,228000000.0,,
NORTH DAKOTA,1931,Milk,added,,2268000000.0,,
OREGON,1931,Milk,added,,1307000000.0,,
RHODE ISLAND,1931,Milk,added,,132000000.0,,
SOUTH CAROLINA,1931,Milk,added,,526000000.0,,
SOUTH DAKOTA,1931,Milk,added,,2180000000.0,,
VERMONT,1931,Milk,added,,1336000000.0,,
WASHINGTON,1931,Milk,added,,1711000000.0,,
WEST VIRGINIA,1931,Milk,added,,793000000.0,,
WISCONSIN,1931,Milk,added,,11305000000.0,,
ARIZONA,1932,Milk,added,,200000000.0,,
CALIFORNIA,1932,Milk,added,,4118000000.0,,
CONNECTICUT,1932,Milk,added,,645000000.0,,
DELAWARE,1932,Milk,added,,126000000.0,,
FLORIDA,1932,Milk,added,,255000000.0,,
GEORGIA,1932,Milk,added,,1095000000.0,,
IOWA,1932,Milk,added,,6046000000.0,,
LOUISIANA,1932,Milk,added,,571000000.0,,
MAINE,1932,Milk,added,,665000000.0,,
MARYLAND,1932,Milk,added,,765000000.0,,
MASSACHUSETTS,1932,Milk,added,,742000000.0,,
MISSISSIPPI,1932,Milk,added,,1337000000.0,,
MISSOURI,1932,Milk,added,,3650000000.0,,
NEBRASKA,1932,Milk,added,,2890000000.0,,
NEVADA,1932,Milk,added,,106000000.0,,
NEW HAMPSHIRE,1932,Milk,added,,387000000.0,,
NEW MEXICO,1932,Milk,added,,231000000.0,,
NORTH DAKOTA,1932,Milk,added,,2258000000.0,,
RHODE ISLAND,1932,Milk,added,,132000000.0,,
SOUTH CAROLINA,1932,Milk,added,,547000000.0,,
SOUTH DAKOTA,1932,Milk,added,,2051000000.0,,
VERMONT,1932,Milk,added,,1339000000.0,,
WEST VIRGINIA,1932,Milk,added,,814000000.0,,
WISCONSIN,1932,Milk,added,,10992000000.0,,
ARIZONA,1933,Milk,added,,216000000.0,,
CALIFORNIA,1933,Milk,added,,4076000000.0,,
CONNECTICUT,1933,Milk,added,,632000000.0,,
DELAWARE,1933,Milk,added,,129000000.0,,
FLORIDA,1933,Milk,added,,263000000.0,,
GEORGIA,1933,Milk,added,,1116000000.0,,
IOWA,1933,Milk,added,,6287000000.0,,
LOUISIANA,1933,Milk,added,,582000000.0,,
MAINE,1933,Milk,added,,639000000.0,,
MARYLAND,1933,Milk,added,,770000000.0,,
MASSACHUSETTS,1933,Milk,added,,742000000.0,,
MISSISSIPPI,1933,Milk,added,,1321000000.0,,
MISSOURI,1933,Milk,added,,3578000000.0,,
NEBRASKA,1933,Milk,added,,3163000000.0,,
NEVADA,1933,Milk,added,,105000000.0,,
NEW HAMPSHIRE,1933,Milk,added,,383000000.0,,
NEW MEXICO,1933,Milk,added,,230000000.0,,
NORTH DAKOTA,1933,Milk,added,,2278000000.0,,
RHODE ISLAND,1933,Milk,added,,132000000.0,,
SOUTH CAROLINA,1933,Milk,added,,558000000.0,,
SOUTH DAKOTA,1933,Milk,added,,2118000000.0,,
VERMONT,1933,Milk,added,,1305000000.0,,
WEST VIRGINIA,1933,Milk,added,,804000000.0,,
ARIZONA,1934,Milk,added,,225000000.0,,
ARKANSAS,1934,Milk,changed,1239000000.0,1236000000.0,-3000000.0,-0.002421307506053269
CALIFORNIA,1934,Milk,added,,4118000000.0,,
CONNECTICUT,1934,Milk,added,,616000000.0,,
DELAWARE,1934,Milk,added,,125000000.0,,
FLORIDA,1934,Milk,added,,274000000.0,,
GEORGIA,1934,Milk,added,,1109000000.0,,
IOWA,1934,Milk,added,,6150000000.0,,
LOUISIANA,1934,Milk,added,,594000000.0,,
MAINE,1934,Milk,added,,635000000.0,,
MARYLAND,1934,Milk,added,,769000000.0,,
MASSACHUSETTS,1934,Milk,added,,747000000.0,,
MISSISSIPPI,1934,Milk,added,,1308000000.0,,
MISSOURI,1934,Milk,added,,3371000000.0,,
NEBRASKA,1934,Milk,added,,2929000000.0,,
NEVADA,1934,Milk,added,,103000000.0,,
NEW HAMPSHIRE,1934,Milk,added,,380000000.0,,
NEW MEXICO,1934,Milk,added,,219000000.0,,
NORTH DAKOTA,1934,Milk,added,,1968000000.0,,
RHODE ISLAND,1934,Milk,added,,128000000.0,,
SOUTH CAROLINA,1934,Milk,added,,542000000.0,,
SOUTH DAKOTA,1934,Milk,added,,1668000000.0,,
VERMONT,1934,Milk,added,,1284000000.0,,
WEST VIRGINIA,1934,Milk,added,,806000000.0,,
ARIZONA,1935,Milk,added,,224000000.0,,
CONNECTICUT,1935,Milk,added,,618000000.0,,
DELAWARE,1935,Milk,added,,126000000.0,,
FLORIDA,1935,Milk,added,,290000000.0,,
GEORGIA,1935,Milk,added,,1071000000.0,,
IOWA,1935,Milk,added,,6009000000.0,,
LOUISIANA,1935,Milk,added,,578000000.0,,
MAINE,1935,Milk,added,,632000000.0,,
MARYLAND,1935,Milk,added,,772000000.0,,
MASSACHUSETTS,1935,Milk,added,,767000000.0,,
MISSISSIPPI,1935,Milk,added,,1299000000.0,,
MISSOURI,1935,Milk,added,,3363000000.0,,
NEBRASKA,1935,Milk,added,,2689000000.0,,
NEVADA,1935,Milk,added,,106000000.0,,
NEW HAMPSHIRE,1935,Milk,added,,378000000.0,,
NEW MEXICO,1935,Milk,added,,231000000.0,,
NORTH DAKOTA,1935,Milk,added,,1951000000.0,,
RHODE ISLAND,1935,Milk,added,,132000000.0,,
SOUTH DAKOTA,1935,Milk,added,,1603000000.0,,
VERMONT,1935,Milk,added,,1341000000.0,,
WEST VIRGINIA,1935,Milk,added,,838000000.0,,
ARIZONA,1936,Milk,added,,228000000.0,,
CONNECTICUT,1936,Milk,added,,625000000.0,,
DELAWARE,1936,Milk,added,,130000000.0,,
FLORIDA,1936,Milk,added,,321000000.0,,
GEORGIA,1936,Milk,added,,1054000000.0,,
IOWA,1936,Milk,added,,6052000000.0,,
LOUISIANA,1936,Milk,added,,588000000.0,,
MAINE,1936,Milk,added,,626000000.0,,
MARYLAND,1936,Milk,added,,784000000.0,,
MASSACHUSETTS,1936,Milk,added,,770000000.0,,
MISSISSIPPI,1936,Milk,added,,1303000000.0,,
MISSOURI,1936,Milk,added,,3014000000.0,,
NEBRASKA,1936,Milk,added,,2623000000.0,,
NEVADA,1936,Milk,added,,108000000.0,,
NEW HAMPSHIRE,1936,Milk,added,,372000000.0,,
NEW MEXICO,1936,Milk,added,,244000000.0,,
NORTH DAKOTA,1936,Milk,added,,1919000000.0,,
RHODE ISLAND,1936,Milk,added,,129000000.0,,
SOUTH DAKOTA,1936,Milk,added,,1640000000.0,,
VERMONT,1936,Milk,added,,1362000000.0,,
WEST VIRGINIA,1936,Milk,added,,814000000.0,,
ARIZONA,1937,Milk,added,,214000000.0,,
CONNECTICUT,1937,Milk,added,,650000000.0,,
DELAWARE,1937,Milk,added,,127000000.0,,
FLORIDA,1937,Milk,added,,323000000.0,,
IOWA,1937,Milk,added,,5919000000.0,,
LOUISIANA,1937,Milk,added,,598000000.0,,
MAINE,1937,Milk,added,,630000000.0,,
MARYLAND,1937,Milk,added,,790000000.0,,
MASSACHUSETTS,1937,Milk,added,,783000000.0,,
MISSISSIPPI,1937,Milk,added,,1312000000.0,,
MISSOURI,1937,Milk,added,,3053000000.0,,
NEBRASKA,1937,Milk,added,,2356000000.0,,
NEVADA,1937,Milk,added,,104000000.0,,
NEW HAMPSHIRE,1937,Milk,added,,357000000.0,,
NEW MEXICO,1937,Milk,added,,245000000.0,,
NORTH DAKOTA,1937,Milk,added,,1796000000.0,,
RHODE ISLAND,1937,Milk,added,,131000000.0,,
SOUTH DAKOTA,1937,Milk,added,,1472000000.0,,
VERMONT,1937,Milk,added,,1354000000.0,,
WEST VIRGINIA,1937,Milk,added,,794000000.0,,
ARIZONA,1938,Milk,added,,219000000.0,,
CONNECTICUT,1938,Milk,added,,667000000.0,,
DELAWARE,1938,Milk,added,,132000000.0,,
FLORIDA,1938,Milk,added,,322000000.0,,
IOWA,1938,Milk,added,,6365000000.0,,
LOUISIANA,1938,Milk,added,,647000000.0,,
MAINE,1938,Milk,added,,638000000.0,,
MARYLAND,1938,Milk,added,,831000000.0,,
MASSACHUSETTS,1938,Milk,added,,784000000.0,,
MISSOURI,1938,Milk,added,,3270000000.0,,
NEBRASKA,1938,Milk,added,,2479000000.0,,
NEVADA,1938,Milk,added,,107000000.0,,
NEW HAMPSHIRE,1938,Milk,added,,353000000.0,,
NEW MEXICO,1938,Milk,added,,257000000.0,,
NORTH DAKOTA,1938,Milk,added,,1821000000.0,,
RHODE ISLAND,1938,Milk,added,,131000000.0,,
SOUTH DAKOTA,1938,Milk,added,,1570000000.0,,
VERMONT,1938,Milk,added,,1343000000.0,,
WEST VIRGINIA,1938,Milk,added,,807000000.0,,
ARIZONA,1939,Milk,added,,235000000.0,,
CONNECTICUT,1939,Milk,added,,673000000.0,,
DELAWARE,1939,Milk,added,,139000000.0,,
FLORIDA,1939,Milk,added,,330000000.0,,
IOWA,1939,Milk,added,,6379000000.0,,
LOUISIANA,1939,Milk,added,,664000000.0,,
MAINE,1939,Milk,added,,619000000.0,,
MARYLAND,1939,Milk,added,,898000000.0,,
MASSACHUSETTS,1939,Milk,added,,791000000.0,,
MISSOURI,1939,Milk,added,,3271000000.0,,
NEBRASKA,1939,Milk,added,,2618000000.0,,
NEVADA,1939,Milk,added,,109000000.0,,
NEW HAMPSHIRE,1939,Milk,added,,354000000.0,,
NEW MEXICO,1939,Milk,added,,269000000.0,,
NORTH DAKOTA,1939,Milk,added,,1906000000.0,,
RHODE ISLAND,1939,Milk,added,,134000000.0,,
SOUTH DAKOTA,1939,Milk,added,,1642000000.0,,
VERMONT,1939,Milk,added,,1348000000.0,,
ARIZONA,1940,Milk,added,,232000000.0,,
CONNECTICUT,1940,Milk,added,,670000000.0,,
DELAWARE,1940,Milk,added,,144000000.0,,
FLORIDA,1940,Milk,added,,343000000.0,,
IOWA,1940,Milk,added,,6611000000.0,,
LOUISIANA,1940,Milk,added,,628000000.0,,
MAINE,1940,Milk,added,,628000000.0,,
MARYLAND,1940,Milk,added,,922000000.0,,
MASSACHUSETTS,1940,Milk,added,,810000000.0,,
MISSOURI,1940,Milk,added,,3386000000.0,,
NEBRASKA,1940,Milk,added,,2589000000.0,,
NEVADA,1940,Milk,added,,106000000.0,,
NEW HAMPSHIRE,1940,Milk,added,,361000000.0,,
NEW MEXICO,1940,Milk,added,,287000000.0,,
NORTH DAKOTA,1940,Milk,added,,2081000000.0,,
RHODE ISLAND,1940,Milk,added,,136000000.0,,
SOUTH DAKOTA,1940,Milk,added,,1746000000.0,,
VERMONT,1940,Milk,added,,1423000000.0,,
ARIZONA,1941,Milk,added,,241000000.0,,
CONNECTICUT,1941,Milk,added,,684000000.0,,
DELAWARE,1941,Milk,added,,154000000.0,,
FLORIDA,1941,Milk,added,,374000000.0,,
IOWA,1941,Milk,added,,6891000000.0,,
LOUISIANA,1941,Milk,added,,644000000.0,,
MAINE,1941,Milk,added,,626000000.0,,
MARYLAND,1941,Milk,added,,960000000.0,,
MASSACHUSETTS,1941,Milk,added,,818000000.0,,
MISSOURI,1941,Milk,added,,3562000000.0,,
NEBRASKA,1941,Milk,added,,2752000000.0,,
NEVADA,1941,Milk,added,,115000000.0,,
NEW HAMPSHIRE,1941,Milk,added,,351000000.0,,
NEW MEXICO,1941,Milk,added,,299000000.0,,
NORTH DAKOTA,1941,Milk,added,,2238000000.0,,
RHODE ISLAND,1941,Milk,added,,136000000.0,,
SOUTH DAKOTA,1941,Milk,added,,1827000000.0,,
VERMONT,1941,Milk,added,,1451000000.0,,
ALABAMA,1942,Milk,changed,1300000000.0,1297000000.0,-3000000.0,-0.002307692307692308
ARIZONA,1942,Milk,added,,253000000.0,,
CONNECTICUT,1942,Milk,added,,711000000.0,,
DELAWARE,1942,Milk,added,,157000000.0,,
FLORIDA,1942,Milk,added,,385000000.0,,
IOWA,1942,Milk,added,,6864000000.0,,
LOUISIANA,1942,Milk,added,,667000000.0,,
MAINE,1942,Milk,added,,616000000.0,,
MARYLAND,1942,Milk,added,,984000000.0,,
MASSACHUSETTS,1942,Milk,added,,811000000.0,,
MISSOURI,1942,Milk,added,,3715000000.0,,
NEBRASKA,1942,Milk,added,,2928000000.0,,
NEVADA,1942,Milk,added,,115000000.0,,
NEW HAMPSHIRE,1942,Milk,added,,348000000.0,,
NEW MEXICO,1942,Milk,added,,306000000.0,,
NORTH DAKOTA,1942,Milk,added,,2277000000.0,,
RHODE ISLAND,1942,Milk,added,,135000000.0,,
SOUTH DAKOTA,1942,Milk,added,,1867000000.0,,
VERMONT,1942,Milk,added,,1466000000.0,,
ARIZONA,1943,Milk,added,,257000000.0,,
CONNECTICUT,1943,Milk,added,,688000000.0,,
DELAWARE,1943,Milk,added,,160000000.0,,
FLORIDA,1943,Milk,added,,420000000.0,,
IOWA,1943,Milk,added,,6979000000.0,,
KANSAS,1943,Milk,changed,3160000000.0,3260000000.0,100000000.0,0.03164556962025317
LOUISIANA,1943,Milk,added,,686000000.0,,
MAINE,1943,Milk,added,,608000000.0,,
MARYLAND,1943,Milk,added,,955000000.0,,
MASSACHUSETTS,1943,Milk,added,,780000000.0,,
MISSOURI,1943,Milk,added,,3751000000.0,,
NEBRASKA,1943,Milk,added,,2974000000.0,,
NEVADA,1943,Milk,added,,107000000.0,,
NEW HAMPSHIRE,1943,Milk,added,,338000000.0,,
NEW MEXICO,1943,Milk,added,,300000000.0,,
NORTH DAKOTA,1943,Milk,added,,2198000000.0,,
RHODE ISLAND,1943,Milk,added,,128000000.0,,
SOUTH DAKOTA,1943,Milk,added,,1804000000.0,,
VERMONT,1943,Milk,added,,1463000000.0,,
ARIZONA,1944,Milk,added,,254000000.0,,
CONNECTICUT,1944,Milk,added,,694000000.0,,
DELAWARE,1944,Milk,added,,163000000.0,,
FLORIDA,1944,Milk,added,,441000000.0,,
IOWA,1944,Milk,added,,6655000000.0,,
LOUISIANA,1944,Milk,added,,696000000.0,,
MAINE,1944,Milk,added,,654000000.0,,
MARYLAND,1944,Milk,added,,986000000.0,,
MASSACHUSETTS,1944,Milk,added,,807000000.0,,
MISSOURI,1944,Milk,added,,3994000000.0,,
NEBRASKA,1944,Milk,added,,2625000000.0,,
NEVADA,1944,Milk,added,,103000000.0,,
NEW HAMPSHIRE,1944,Milk,added,,343000000.0,,
NEW MEXICO,1944,Milk,added,,266000000.0,,
NORTH DAKOTA,1944,Milk,added,,2099000000.0,,
PENNSYLVANIA,1944,Milk,changed,5067000000.0,5072000000.0,5000000.0,0.0009867771857114663
RHODE ISLAND,1944,Milk,added,,132000000.0,,
SOUTH DAKOTA,1944,Milk,added,,1710000000.0,,
VERMONT,1944,Milk,added,,1505000000.0,,
ARIZONA,1945,Milk,added,,258000000.0,,
CONNECTICUT,1945,Milk,added,,679000000.0,,
DELAWARE,1945,Milk,added,,179000000.0,,
FLORIDA,1945,Milk,added,,468000000.0,,
IOWA,1945,Milk,added,,6702000000.0,,
LOUISIANA,1945,Milk,added,,693000000.0,,
MAINE,1945,Milk,added,,645000000.0,,
MARYLAND,1945,Milk,added,,1081000000.0,,
MASSACHUSETTS,1945,Milk,added,,799000000.0,,
MISSOURI,1945,Milk,added,,4100000000.0,,
NEBRASKA,1945,Milk,added,,2501000000.0,,
NEVADA,1945,Milk,added,,97000000.0,,
NEW HAMPSHIRE,1945,Milk,added,,352000000.0,,
NEW MEXICO,1945,Milk,added,,251000000.0,,
NORTH DAKOTA,1945,Milk,added,,1970000000.0,,
RHODE ISLAND,1945,Milk,added,,133000000.0,,
SOUTH DAKOTA,1945,Milk,added,,1650000000.0,,
VERMONT,1945,Milk,added,,1534000000.0,,
HAWAII,1946,Coffee,removed,8625000.0,,,
ARIZONA,1946,Milk,added,,244000000.0,,
CONNECTICUT,1946,Milk,added,,652000000.0,,
DELAWARE,1946,Milk,added,,176000000.0,,
FLORIDA,1946,Milk,added,,485000000.0,,
IOWA,1946,Milk,added,,6687000000.0,,
LOUISIANA,1946,Milk,added,,667000000.0,,
MAINE,1946,Milk,added,,620000000.0,,
MARYLAND,1946,Milk,added,,1115000000.0,,
MASSACHUSETTS,1946,Milk,added,,769000000.0,,
MISSOURI,1946,Milk,added,,4026000000.0,,
NEBRASKA,1946,Milk,added,,2484000000.0,,
NEVADA,1946,Milk,added,,97000000.0,,
NEW HAMPSHIRE,1946,Milk,added,,333000000.0,,
NEW MEXICO,1946,Milk,added,,248000000.0,,
NORTH DAKOTA,1946,Milk,added,,1949000000.0,,
RHODE ISLAND,1946,Milk,added,,128000000.0,,
SOUTH DAKOTA,1946,Milk,added,,1600000000.0,,
VERMONT,1946,Milk,added,,1451000000.0,,
HAWAII,1947,Coffee,removed,8738000.0,,,
ARIZONA,1947,Milk,added,,260000000.0,,
CONNECTICUT,1947,Milk,added,,666000000.0,,
DELAWARE,1947,Milk,added,,178000000.0,,
FLORIDA,1947,Milk,added,,502000000.0,,
IOWA,1947,Milk,added,,6520000000.0,,
LOUISIANA,1947,Milk,added,,679000000.0,,
MAINE,1947,Milk,added,,628000000.0,,
MASSACHUSETTS,1947,Milk,added,,777000000.0,,
MISSOURI,1947,Milk,added,,3952000000.0,,
NEBRASKA,1947,Milk,added,,2404000000.0,,
NEVADA,1947,Milk,added,,100000000.0,,
NEW HAMPSHIRE,1947,Milk,added,,341000000.0,,
NEW MEXICO,1947,Milk,added,,235000000.0,,
NORTH DAKOTA,1947,Milk,added,,1905000000.0,,
RHODE ISLAND,1947,Milk,added,,130000000.0,,
SOUTH DAKOTA,1947,Milk,added,,1489000000.0,,
VERMONT,1947,Milk,added,,1490000000.0,,
HAWAII,1948,Coffee,removed,7375000.0,,,
ARIZONA,1948,Milk,added,,252000000.0,,
CONNECTICUT,1948,Milk,added,,639000000.0,,
DELAWARE,1948,Milk,added,,176000000.0,,
FLORIDA,1948,Milk,added,,523000000.0,,
IOWA,1948,Milk,added,,6076000000.0,,
LOUISIANA,1948,Milk,added,,695000000.0,,
MAINE,1948,Milk,added,,576000000.0,,
MASSACHUSETTS,1948,Milk,added,,754000000.0,,
MISSOURI,1948,Milk,added,,3939000000.0,,
NEBRASKA,1948,Milk,added,,2275000000.0,,
NEVADA,1948,Milk,added,,95000000.0,,
NEW HAMPSHIRE,1948,Milk,added,,330000000.0,,
NEW MEXICO,1948,Milk,added,,219000000.0,,
NORTH DAKOTA,1948,Milk,added,,1725000000.0,,
RHODE ISLAND,1948,Milk,added,,129000000.0,,
SOUTH DAKOTA,1948,Milk,added,,1417000000.0,,
VERMONT,1948,Milk,added,,1442000000.0,,
HAWAII,1949,Coffee,removed,5375000.0,,,
ARIZONA,1949,Milk,added,,266000000.0,,
CONNECTICUT,1949,Milk,added,,691000000.0,,
DELAWARE,1949,Milk,added,,181000000.0,,
FLORIDA,1949,Milk,added,,580000000.0,,
IOWA,1949,Milk,added,,6097000000.0,,
LOUISIANA,1949,Milk,added,,720000000.0,,
MAINE,1949,Milk,added,,610000000.0,,
MASSACHUSETTS,1949,Milk,added,,762000000.0,,
MISSOURI,1949,Milk,added,,4048000000.0,,
NEBRASKA,1949,Milk,added,,2223000000.0,,
NEVADA,1949,Milk,added,,90000000.0,,
NEW HAMPSHIRE,1949,Milk,added,,339000000.0,,
NEW MEXICO,1949,Milk,added,,221000000.0,,
NORTH DAKOTA,1949,Milk,added,,1678000000.0,,
RHODE ISLAND,1949,Milk,added,,139000000.0,,
SOUTH DAKOTA,1949,Milk,added,,1369000000.0,,
VERMONT,1949,Milk,added,,1537000000.0,,
HAWAII,1950,Coffee,removed,9375000.0,,,
ARIZONA,1950,Milk,added,,271000000.0,,
CONNECTICUT,1950,Milk,added,,697000000.0,,
DELAWARE,1950,Milk,added,,186000000.0,,
FLORIDA,1950,Milk,added,,598000000.0,,
IOWA,1950,Milk,added,,6171000000.0,,
LOUISIANA,1950,Milk,added,,719000000.0,,
MAINE,1950,Milk,added,,620000000.0,,
MASSACHUSETTS,1950,Milk,added,,780000000.0,,
MISSOURI,1950,Milk,added,,4132000000.0,,
NEBRASKA,1950,Milk,added,,2250000000.0,,
NEVADA,1950,Milk,added,,91000000.0,,
NEW HAMPSHIRE,1950,Milk,added,,344000000.0,,
NEW MEXICO,1950,Milk,added,,215000000.0,,
NORTH DAKOTA,1950,Milk,added,,1699000000.0,,
RHODE ISLAND,1950,Milk,added,,137000000.0,,
SOUTH DAKOTA,1950,Milk,added,,1402000000.0,,
VERMONT,1950,Milk,added,,1516000000.0,,
HAWAII,1951,Coffee,removed,9625000.0,,,
ARIZONA,1951,Milk,added,,276000000.0,,
CONNECTICUT,1951,Milk,added,,693000000.0,,
DELAWARE,1951,Milk,added,,189000000.0,,
FLORIDA,1951,Milk,added,,631000000.0,,
IOWA,1951,Milk,added,,5930000000.0,,
LOUISIANA,1951,Milk,added,,731000000.0,,
