State,commodity,status,existing_total_production,downloaded_total_production,difference,pct_difference,within_absolute_tolerance,downloaded_unit,downloaded_short_desc,downloaded_load_time,downloaded_source
ALABAMA,Honey,matched,400000.0,535501.0,135501.0,33.87525,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
ALABAMA,Milk,downloaded_only,,32000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
ALASKA,Honey,downloaded_only,,28491.0,,,,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
ARIZONA,Honey,matched,1035000.0,1525002.0,490002.0,47.34318840579711,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
ARIZONA,Milk,matched,4772000000.0,4772000000.0,0.0,0.0,True,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
ARKANSAS,Honey,matched,1120000.0,1029923.0,-90077.0,-8.042589285714286,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
ARKANSAS,Milk,downloaded_only,,45000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
CALIFORNIA,Cheese,matched,2460538000.0,2461201000.0,663000.0,0.0269453265911764,False,LB,"CHEESE - PRODUCTION, MEASURED IN LB",2025-04-25 15:00:00.000,USDA NASS QuickStats
CALIFORNIA,Honey,matched,11590000.0,28502379.0,16912379.0,145.92216566005177,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
CALIFORNIA,Milk,matched,41787000000.0,41800000000.0,13000000.0,0.031110153875607244,False,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
CALIFORNIA,Yogurt,matched,377839000.0,221139000.0,-156700000.0,-41.47269074923447,False,LB,"YOGURT, PLAIN & FLAVORED - PRODUCTION, MEASURED IN LB",2025-04-25 15:00:00.000,USDA NASS QuickStats
COLORADO,Honey,matched,1302000.0,1276922.0,-25078.0,-1.9261136712749614,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
COLORADO,Milk,matched,5314000000.0,5314000000.0,0.0,0.0,True,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
CONNECTICUT,Honey,downloaded_only,,240332.0,,,,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
CONNECTICUT,Milk,downloaded_only,,430000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
DELAWARE,Honey,downloaded_only,,14726.0,,,,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
DELAWARE,Milk,downloaded_only,,48100000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
FLORIDA,Honey,matched,7350000.0,14526000.0,7176000.0,97.63265306122449,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
FLORIDA,Milk,matched,1933000000.0,1927000000.0,-6000000.0,-0.3103983445421624,False,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
GEORGIA,Honey,matched,3296000.0,4994913.0,1698913.0,51.544690533980585,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
GEORGIA,Milk,matched,2028000000.0,2028000000.0,0.0,0.0,True,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
HAWAII,Coffee,downloaded_only,,23625000.0,,,,"LB, CHERRY BASIS","COFFEE - PRODUCTION, MEASURED IN LB, CHERRY BASIS",2024-01-03 15:00:00.000,USDA NASS QuickStats
HAWAII,Honey,downloaded_only,,2170545.0,,,,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
IDAHO,Cheese,matched,989539000.0,989539000.0,0.0,0.0,True,LB,"CHEESE - PRODUCTION, MEASURED IN LB",2025-04-25 15:00:00.000,USDA NASS QuickStats
IDAHO,Honey,matched,2726000.0,5762856.0,3036856.0,111.40337490829053,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
IDAHO,Milk,matched,16628000000.0,16628000000.0,0.0,0.0,True,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
ILLINOIS,Cheese,matched,68977000.0,68977000.0,0.0,0.0,True,LB,"CHEESE - PRODUCTION, MEASURED IN LB",2025-04-25 15:00:00.000,USDA NASS QuickStats
ILLINOIS,Honey,matched,470000.0,803845.0,333845.0,71.03085106382979,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
ILLINOIS,Milk,matched,1714000000.0,1714000000.0,0.0,0.0,True,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
INDIANA,Honey,matched,567000.0,908140.0,341140.0,60.16578483245149,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
INDIANA,Milk,matched,4413000000.0,4371000000.0,-42000000.0,-0.9517335146159076,False,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
IOWA,Cheese,matched,389996000.0,389996000.0,0.0,0.0,True,LB,"CHEESE - PRODUCTION, MEASURED IN LB",2025-04-25 15:00:00.000,USDA NASS QuickStats
IOWA,Honey,matched,2448000.0,2104054.0,-343946.0,-14.050081699346407,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
IOWA,Milk,matched,5770000000.0,5770000000.0,0.0,0.0,True,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
KANSAS,Honey,matched,372000.0,845894.0,473894.0,127.39086021505376,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
KANSAS,Milk,matched,4143000000.0,4142000000.0,-1000000.0,-0.02413709872073377,False,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
KENTUCKY,Honey,matched,252000.0,482601.0,230601.0,91.50833333333334,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
KENTUCKY,Milk,downloaded_only,,926000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
LOUISIANA,Honey,matched,2562000.0,3989186.0,1427186.0,55.70593286494926,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
LOUISIANA,Milk,downloaded_only,,112000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
MAINE,Honey,matched,230000.0,292411.0,62411.0,27.13521739130435,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
MAINE,Milk,downloaded_only,,554000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
MARYLAND,Honey,downloaded_only,,222384.0,,,,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
MARYLAND,Milk,downloaded_only,,842000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
MASSACHUSETTS,Honey,downloaded_only,,495799.0,,,,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
MASSACHUSETTS,Milk,downloaded_only,,188000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
MICHIGAN,Honey,matched,3362000.0,6168358.0,2806358.0,83.4728732897085,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
MICHIGAN,Milk,matched,11740000000.0,11737000000.0,-3000000.0,-0.025553662691652473,False,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
MINNESOTA,Cheese,matched,811544000.0,811518000.0,-26000.0,-0.003203769604605542,False,LB,"CHEESE - PRODUCTION, MEASURED IN LB",2025-04-25 15:00:00.000,USDA NASS QuickStats
MINNESOTA,Honey,matched,5202000.0,8865510.0,3663510.0,70.42502883506344,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
MINNESOTA,Milk,matched,10477000000.0,10472000000.0,-5000000.0,-0.04772358499570488,False,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
MISSISSIPPI,Honey,matched,1995000.0,3256416.0,1261416.0,63.22887218045112,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
MISSISSIPPI,Milk,downloaded_only,,90000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
MISSOURI,Honey,matched,328000.0,720693.0,392693.0,119.7234756097561,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
MISSOURI,Milk,downloaded_only,,941000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
MONTANA,Honey,matched,7503000.0,8822137.0,1319137.0,17.58146074903372,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
MONTANA,Milk,downloaded_only,,223000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
NEBRASKA,Honey,matched,1496000.0,2400761.0,904761.0,60.47867647058823,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
