Year,commodity,rows,states,unit,min_total_production,max_total_production,source
1930,Milk,48,48,LB,116000000.0,11207000000.0,USDA NASS QuickStats bulk export
1931,Milk,48,48,LB,108000000.0,11305000000.0,USDA NASS QuickStats bulk export
1932,Milk,48,48,LB,106000000.0,10992000000.0,USDA NASS QuickStats bulk export
1933,Milk,48,48,LB,105000000.0,10851000000.0,USDA NASS QuickStats bulk export
1934,Milk,48,48,LB,103000000.0,10659000000.0,USDA NASS QuickStats bulk export
1935,Milk,48,48,LB,106000000.0,10921000000.0,USDA NASS QuickStats bulk export
1936,Milk,48,48,LB,108000000.0,11598000000.0,USDA NASS QuickStats bulk export
1937,Milk,48,48,LB,104000000.0,11378000000.0,USDA NASS QuickStats bulk export
1938,Milk,48,48,LB,107000000.0,11862000000.0,USDA NASS QuickStats bulk export
1939,Milk,48,48,LB,109000000.0,11973000000.0,USDA NASS QuickStats bulk export
1940,Milk,48,48,LB,106000000.0,12665000000.0,USDA NASS QuickStats bulk export
1941,Milk,48,48,LB,115000000.0,13625000000.0,USDA NASS QuickStats bulk export
1942,Milk,48,48,LB,115000000.0,14239000000.0,USDA NASS QuickStats bulk export
1943,Milk,48,48,LB,107000000.0,14100000000.0,USDA NASS QuickStats bulk export
1944,Milk,48,48,LB,103000000.0,14042000000.0,USDA NASS QuickStats bulk export
1945,Milk,48,48,LB,97000000.0,14939000000.0,USDA NASS QuickStats bulk export
1946,Milk,48,48,LB,97000000.0,14993000000.0,USDA NASS QuickStats bulk export
1947,Milk,48,48,LB,100000000.0,15034000000.0,USDA NASS QuickStats bulk export
1948,Milk,48,48,LB,95000000.0,14384000000.0,USDA NASS QuickStats bulk export
1949,Milk,48,48,LB,90000000.0,14998000000.0,USDA NASS QuickStats bulk export
1950,Milk,48,48,LB,91000000.0,14796000000.0,USDA NASS QuickStats bulk export
1951,Milk,48,48,LB,85000000.0,15047000000.0,USDA NASS QuickStats bulk export
1952,Milk,48,48,LB,81000000.0,15272000000.0,USDA NASS QuickStats bulk export
1953,Milk,48,48,LB,86000000.0,15947000000.0,USDA NASS QuickStats bulk export
1954,Milk,48,48,LB,87000000.0,16273000000.0,USDA NASS QuickStats bulk export
1955,Milk,48,48,LB,87000000.0,16482000000.0,USDA NASS QuickStats bulk export
1956,Milk,48,48,LB,90000000.0,16922000000.0,USDA NASS QuickStats bulk export
1957,Milk,48,48,LB,92000000.0,17433000000.0,USDA NASS QuickStats bulk export
1958,Milk,48,48,LB,96000000.0,17956000000.0,USDA NASS QuickStats bulk export
1959,Milk,48,48,LB,110000000.0,17815000000.0,USDA NASS QuickStats bulk export
1960,Milk,50,50,LB,20400000.0,17780000000.0,USDA NASS QuickStats bulk export
1961,Milk,50,50,LB,22800000.0,17931000000.0,USDA NASS QuickStats bulk export
1962,Milk,50,50,LB,23000000.0,18598000000.0,USDA NASS QuickStats bulk export
1963,Milk,50,50,LB,22800000.0,18597000000.0,USDA NASS QuickStats bulk export
1964,Milk,50,50,LB,22700000.0,19358000000.0,USDA NASS QuickStats bulk export
1965,Milk,50,50,LB,20700000.0,18841000000.0,USDA NASS QuickStats bulk export
1966,Milk,50,50,LB,19000000.0,18052000000.0,USDA NASS QuickStats bulk export
1967,Milk,50,50,LB,18200000.0,18219000000.0,USDA NASS QuickStats bulk export
1968,Milk,50,50,LB,17700000.0,18210000000.0,USDA NASS QuickStats bulk export
1969,Milk,50,50,LB,17800000.0,18051000000.0,USDA NASS QuickStats bulk export
1970,Cheese,32,32,LB,789000.0,947591000.0,USDA NASS QuickStats bulk export
1970,Milk,50,50,LB,18600000.0,18435000000.0,USDA NASS QuickStats bulk export
1971,Cheese,31,31,LB,872000.0,986369000.0,USDA NASS QuickStats bulk export
1971,Milk,50,50,LB,17100000.0,18848000000.0,USDA NASS QuickStats bulk export
1972,Cheese,30,30,LB,956000.0,1063712000.0,USDA NASS QuickStats bulk export
1972,Milk,50,50,LB,17600000.0,19226000000.0,USDA NASS QuickStats bulk export
1973,Cheese,31,31,LB,1085000.0,1071041000.0,USDA NASS QuickStats bulk export
1973,Milk,50,50,LB,18100000.0,18442000000.0,USDA NASS QuickStats bulk export
1974,Cheese,31,31,LB,989000.0,1129037000.0,USDA NASS QuickStats bulk export
1974,Milk,50,50,LB,18100000.0,18713000000.0,USDA NASS QuickStats bulk export
1975,Cheese,31,31,LB,1465000.0,1089978000.0,USDA NASS QuickStats bulk export
1975,Milk,50,50,LB,16800000.0,18900000000.0,USDA NASS QuickStats bulk export
1976,Cheese,30,30,LB,1572000.0,1241180000.0,USDA NASS QuickStats bulk export
1976,Milk,50,50,LB,16000000.0,20296000000.0,USDA NASS QuickStats bulk export
1977,Cheese,28,28,LB,4607000.0,1278890000.0,USDA NASS QuickStats bulk export
1977,Milk,50,50,LB,16400000.0,21041000000.0,USDA NASS QuickStats bulk export
1978,Cheese,29,29,LB,5234000.0,1332005000.0,USDA NASS QuickStats bulk export
1978,Milk,50,50,LB,14800000.0,21252000000.0,USDA NASS QuickStats bulk export
1979,Cheese,28,28,LB,5497000.0,1400829000.0,USDA NASS QuickStats bulk export
1979,Milk,50,50,LB,13000000.0,21850000000.0,USDA NASS QuickStats bulk export
1980,Cheese,28,28,LB,4323000.0,1484251000.0,USDA NASS QuickStats bulk export
1980,Milk,50,50,LB,12500000.0,22380000000.0,USDA NASS QuickStats bulk export
1981,Cheese,27,27,LB,5523000.0,1560171000.0,USDA NASS QuickStats bulk export
1981,Milk,50,50,LB,13400000.0,23000000000.0,USDA NASS QuickStats bulk export
1982,Cheese,27,27,LB,5957000.0,1644529000.0,USDA NASS QuickStats bulk export
1982,Milk,50,50,LB,13800000.0,23230000000.0,USDA NASS QuickStats bulk export
1983,Cheese,27,27,LB,7224000.0,1728332000.0,USDA NASS QuickStats bulk export
1983,Milk,50,50,LB,13500000.0,23800000000.0,USDA NASS QuickStats bulk export
1984,Cheese,27,27,LB,4964000.0,1698150000.0,USDA NASS QuickStats bulk export
1984,Milk,50,50,LB,13900000.0,23501000000.0,USDA NASS QuickStats bulk export
1985,Cheese,27,27,LB,5213000.0,1778265000.0,USDA NASS QuickStats bulk export
1985,Milk,50,50,LB,22200000.0,24700000000.0,USDA NASS QuickStats bulk export
1986,Cheese,25,25,LB,5826000.0,1813542000.0,USDA NASS QuickStats bulk export
1986,Milk,50,50,LB,31500000.0,24500000000.0,USDA NASS QuickStats bulk export
1987,Cheese,25,25,LB,3093000.0,1874492000.0,USDA NASS QuickStats bulk export
1987,Honey,49,49,LB,29000.0,34840000.0,USDA NASS QuickStats bulk export
1987,Milk,50,50,LB,34800000.0,24800000000.0,USDA NASS QuickStats bulk export
1988,Cheese,24,24,LB,9610000.0,1901379000.0,USDA NASS QuickStats bulk export
1988,Honey,49,49,LB,26000.0,25200000.0,USDA NASS QuickStats bulk export
1988,Milk,50,50,LB,30700000.0,25000000000.0,USDA NASS QuickStats bulk export
1989,Cheese,24,24,LB,8808000.0,1847455000.0,USDA NASS QuickStats bulk export
1989,Honey,49,49,LB,10000.0,21080000.0,USDA NASS QuickStats bulk export
1989,Milk,50,50,LB,23300000.0,23898000000.0,USDA NASS QuickStats bulk export
1990,Cheese,21,21,LB,19058000.0,1910230000.0,USDA NASS QuickStats bulk export
1990,Honey,49,49,LB,11000.0,20900000.0,USDA NASS QuickStats bulk export
1990,Milk,50,50,LB,16800000.0,24187000000.0,USDA NASS QuickStats bulk export
1990,Yogurt,7,7,LB,2545000.0,233748000.0,USDA NASS QuickStats bulk export
1991,Cheese,17,17,LB,9145000.0,1965888000.0,USDA NASS QuickStats bulk export
1991,Honey,44,44,LB,175000.0,34650000.0,USDA NASS QuickStats bulk export
1991,Milk,50,50,LB,13300000.0,23770000000.0,USDA NASS QuickStats bulk export
1991,Yogurt,9,9,LB,3176000.0,232764000.0,USDA NASS QuickStats bulk export
1992,Cheese,22,22,LB,548000.0,2052913000.0,USDA NASS QuickStats bulk export
1992,Honey,44,44,LB,120000.0,32830000.0,USDA NASS QuickStats bulk export
