source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%)
SURVEY,CROPS,FRUIT & TREE NUTS,COFFEE,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,"LB, CHERRY BASIS","COFFEE - PRODUCTION, MEASURED IN LB, CHERRY BASIS",TOTAL,NOT SPECIFIED,STATE,15,15,HI,HAWAII,,,,,,,,00000000,,,9000,UNITED STATES,HAWAII,2023,ANNUAL,00,00,YEAR,,2025-05-02 15:00:00.000,"23,310,000",
SURVEY,CROPS,FRUIT & TREE NUTS,COFFEE,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"COFFEE - PRODUCTION, MEASURED IN TONS",TOTAL,NOT SPECIFIED,STATE,15,15,HI,HAWAII,,,,,,,,00000000,,,9000,UNITED STATES,HAWAII,2023,ANNUAL,00,00,YEAR,,2025-01-24 15:00:00.000,"11,655",
SURVEY,CROPS,FRUIT & TREE NUTS,COFFEE,ALL CLASSES,ALL PRODUCTION PRACTICES,NOT SOLD,PRODUCTION,"LB, CHERRY BASIS","COFFEE, NOT SOLD - PRODUCTION, MEASURED IN LB, CHERRY BASIS",TOTAL,NOT SPECIFIED,STATE,15,15,HI,HAWAII,,,,,,,,00000000,,,9000,UNITED STATES,HAWAII,2023,ANNUAL,00,00,YEAR,,2025-05-02 15:00:00.000,"4,100,000",
SURVEY,CROPS,FRUIT & TREE NUTS,COFFEE,ALL CLASSES,ALL PRODUCTION PRACTICES,UTILIZED,PRODUCTION,$,"COFFEE, UTILIZED - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,15,15,HI,HAWAII,,,,,,,,00000000,,,9000,UNITED STATES,HAWAII,2023,ANNUAL,00,00,YEAR,,2025-05-02 15:00:00.000,"48,217,000",
SURVEY,CROPS,FRUIT & TREE NUTS,COFFEE,ALL CLASSES,ALL PRODUCTION PRACTICES,UTILIZED,PRODUCTION,"LB, CHERRY BASIS","COFFEE, UTILIZED - PRODUCTION, MEASURED IN LB, CHERRY BASIS",TOTAL,NOT SPECIFIED,STATE,15,15,HI,HAWAII,,,,,,,,00000000,,,9000,UNITED STATES,HAWAII,2023,ANNUAL,00,00,YEAR,,2025-05-02 15:00:00.000,"19,210,000",
SURVEY,CROPS,FRUIT & TREE NUTS,COFFEE,ALL CLASSES,ALL PRODUCTION PRACTICES,UTILIZED,PRODUCTION,"LB, GREEN BASIS","COFFEE, UTILIZED - PRODUCTION, MEASURED IN LB, GREEN BASIS",TOTAL,NOT SPECIFIED,STATE,15,15,HI,HAWAII,,,,,,,,00000000,,,9000,UNITED STATES,HAWAII,2023,ANNUAL,00,00,YEAR,,2025-05-02 15:00:00.000,"3,440,000",
SURVEY,CROPS,FRUIT & TREE NUTS,COFFEE,ALL CLASSES,ALL PRODUCTION PRACTICES,UTILIZED,PRODUCTION,"LB, PARCHMENT BASIS","COFFEE, UTILIZED - PRODUCTION, MEASURED IN LB, PARCHMENT BASIS",TOTAL,NOT SPECIFIED,STATE,15,15,HI,HAWAII,,,,,,,,00000000,,,9000,UNITED STATES,HAWAII,2023,ANNUAL,00,00,YEAR,,2025-05-02 15:00:00.000,"4,300,000",
SURVEY,CROPS,FRUIT & TREE NUTS,COFFEE,ALL CLASSES,ALL PRODUCTION PRACTICES,UTILIZED,PRODUCTION,TONS,"COFFEE, UTILIZED - PRODUCTION, MEASURED IN TONS",TOTAL,NOT SPECIFIED,STATE,15,15,HI,HAWAII,,,,,,,,00000000,,,9000,UNITED STATES,HAWAII,2023,ANNUAL,00,00,YEAR,,2025-01-24 15:00:00.000,"9,605",
SURVEY,CROPS,FRUIT & TREE NUTS,COFFEE,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,"LB, CHERRY BASIS","COFFEE - PRODUCTION, MEASURED IN LB, CHERRY BASIS",TOTAL,NOT SPECIFIED,STATE,15,15,HI,HAWAII,,,,,,,,00000000,,,9000,UNITED STATES,HAWAII,2024,ANNUAL,00,00,YEAR,,2026-05-01 15:00:00.000,"25,270,000",
SURVEY,CROPS,FRUIT & TREE NUTS,COFFEE,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"COFFEE - PRODUCTION, MEASURED IN TONS",TOTAL,NOT SPECIFIED,STATE,15,15,HI,HAWAII,,,,,,,,00000000,,,9000,UNITED STATES,HAWAII,2024,ANNUAL,00,00,YEAR,,2025-01-24 15:00:00.000,"12,040",
