source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%)
SURVEY,ANIMALS & PRODUCTS,SPECIALTY,HONEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,00000000,,,9000,UNITED STATES,OTHER STATES,2023,ANNUAL,00,00,MARKETING YEAR,,2025-03-14 15:00:00.000,"15,646,000",
SURVEY,ANIMALS & PRODUCTS,SPECIALTY,HONEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,01,01,AL,ALABAMA,,,,,,,,00000000,,,9000,UNITED STATES,ALABAMA,2023,ANNUAL,00,00,MARKETING YEAR,,2025-03-14 15:00:00.000,"2,208,000",
SURVEY,ANIMALS & PRODUCTS,SPECIALTY,HONEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,04,04,AZ,ARIZONA,,,,,,,,00000000,,,9000,UNITED STATES,ARIZONA,2023,ANNUAL,00,00,MARKETING YEAR,,2025-03-14 15:00:00.000,"3,256,000",
SURVEY,ANIMALS & PRODUCTS,SPECIALTY,HONEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,05,05,AR,ARKANSAS,,,,,,,,00000000,,,9000,UNITED STATES,ARKANSAS,2023,ANNUAL,00,00,MARKETING YEAR,,2025-03-14 15:00:00.000,"2,701,000",
SURVEY,ANIMALS & PRODUCTS,SPECIALTY,HONEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,06,06,CA,CALIFORNIA,,,,,,,,00000000,,,9000,UNITED STATES,CALIFORNIA,2023,ANNUAL,00,00,MARKETING YEAR,,2025-03-14 15:00:00.000,"31,259,000",
SURVEY,ANIMALS & PRODUCTS,SPECIALTY,HONEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,08,08,CO,COLORADO,,,,,,,,00000000,,,9000,UNITED STATES,COLORADO,2023,ANNUAL,00,00,MARKETING YEAR,,2025-03-14 15:00:00.000,"3,260,000",
SURVEY,ANIMALS & PRODUCTS,SPECIALTY,HONEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,12,12,FL,FLORIDA,,,,,,,,00000000,,,9000,UNITED STATES,FLORIDA,2023,ANNUAL,00,00,MARKETING YEAR,,2025-03-14 15:00:00.000,"14,112,000",
SURVEY,ANIMALS & PRODUCTS,SPECIALTY,HONEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,13,13,GA,GEORGIA,,,,,,,,00000000,,,9000,UNITED STATES,GEORGIA,2023,ANNUAL,00,00,MARKETING YEAR,,2025-03-14 15:00:00.000,"8,766,000",
SURVEY,ANIMALS & PRODUCTS,SPECIALTY,HONEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,16,16,ID,IDAHO,,,,,,,,00000000,,,9000,UNITED STATES,IDAHO,2023,ANNUAL,00,00,MARKETING YEAR,,2025-03-14 15:00:00.000,"5,417,000",
SURVEY,ANIMALS & PRODUCTS,SPECIALTY,HONEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,17,17,IL,ILLINOIS,,,,,,,,00000000,,,9000,UNITED STATES,ILLINOIS,2023,ANNUAL,00,00,MARKETING YEAR,,2025-03-14 15:00:00.000,"3,153,000",
