source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%)
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"MILK - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,00000000,,,9000,UNITED STATES,OTHER STATES,2022,ANNUAL,00,00,YEAR,,2024-04-23 15:00:00.000,"2,062,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"MILK - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,01,01,AL,ALABAMA,,,,,,,,00000000,,,9000,UNITED STATES,ALABAMA,2022,ANNUAL,00,00,YEAR,,2024-04-23 15:00:00.000,"8,800,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"MILK - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,04,04,AZ,ARIZONA,,,,,,,,00000000,,,9000,UNITED STATES,ARIZONA,2022,ANNUAL,00,00,YEAR,,2024-04-23 15:00:00.000,"1,202,544,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"MILK - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,05,05,AR,ARKANSAS,,,,,,,,00000000,,,9000,UNITED STATES,ARKANSAS,2022,ANNUAL,00,00,YEAR,,2024-04-23 15:00:00.000,"12,105,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"MILK - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,06,06,CA,CALIFORNIA,,,,,,,,00000000,,,9000,UNITED STATES,CALIFORNIA,2022,ANNUAL,00,00,YEAR,,2024-04-23 15:00:00.000,"10,408,200,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"MILK - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,08,08,CO,COLORADO,,,,,,,,00000000,,,9000,UNITED STATES,COLORADO,2022,ANNUAL,00,00,YEAR,,2024-04-23 15:00:00.000,"1,360,384,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"MILK - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,09,09,CT,CONNECTICUT,,,,,,,,00000000,,,9000,UNITED STATES,CONNECTICUT,2022,ANNUAL,00,00,YEAR,,2024-04-23 15:00:00.000,"115,670,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"MILK - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,10,10,DE,DELAWARE,,,,,,,,00000000,,,9000,UNITED STATES,DELAWARE,2022,ANNUAL,00,00,YEAR,,2024-04-23 15:00:00.000,"12,121,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"MILK - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,12,12,FL,FLORIDA,,,,,,,,00000000,,,9000,UNITED STATES,FLORIDA,2022,ANNUAL,00,00,YEAR,,2024-04-23 15:00:00.000,"560,757,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,$,"MILK - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,STATE,13,13,GA,GEORGIA,,,,,,,,00000000,,,9000,UNITED STATES,GEORGIA,2022,ANNUAL,00,00,YEAR,,2024-04-23 15:00:00.000,"580,008,000",
