source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%)
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,00000000,,,9000,UNITED STATES,OTHER STATES,2022,MONTHLY,01,03,JAN THRU MAR,,2024-02-02 15:00:00.000,"1,300,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,00000000,,,9000,UNITED STATES,OTHER STATES,2022,MONTHLY,04,06,APR THRU JUN,,2024-02-02 15:00:00.000,"1,300,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,00000000,,,9000,UNITED STATES,OTHER STATES,2022,MONTHLY,07,09,JUL THRU SEP,,2024-02-02 15:00:00.000,"1,300,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,00000000,,,9000,UNITED STATES,OTHER STATES,2022,MONTHLY,10,12,OCT THRU DEC,,2024-02-02 15:00:00.000,"1,100,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,01,01,AL,ALABAMA,,,,,,,,00000000,,,9000,UNITED STATES,ALABAMA,2022,MONTHLY,01,03,JAN THRU MAR,,2024-02-02 15:00:00.000,"10,000,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,01,01,AL,ALABAMA,,,,,,,,00000000,,,9000,UNITED STATES,ALABAMA,2022,MONTHLY,04,06,APR THRU JUN,,2024-02-02 15:00:00.000,"9,000,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,01,01,AL,ALABAMA,,,,,,,,00000000,,,9000,UNITED STATES,ALABAMA,2022,MONTHLY,07,09,JUL THRU SEP,,2024-02-02 15:00:00.000,"7,000,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,01,01,AL,ALABAMA,,,,,,,,00000000,,,9000,UNITED STATES,ALABAMA,2022,MONTHLY,10,12,OCT THRU DEC,,2024-02-02 15:00:00.000,"6,000,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,04,04,AZ,ARIZONA,,,,,,,,00000000,,,9000,UNITED STATES,ARIZONA,2022,MONTHLY,01,01,JAN,,2024-02-02 15:00:00.000,"410,000,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,04,04,AZ,ARIZONA,,,,,,,,00000000,,,9000,UNITED STATES,ARIZONA,2022,MONTHLY,01,03,JAN THRU MAR,,2024-02-02 15:00:00.000,"1,256,000,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,04,04,AZ,ARIZONA,,,,,,,,00000000,,,9000,UNITED STATES,ARIZONA,2022,MONTHLY,02,02,FEB,,2024-02-02 15:00:00.000,"394,000,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,04,04,AZ,ARIZONA,,,,,,,,00000000,,,9000,UNITED STATES,ARIZONA,2022,MONTHLY,03,03,MAR,,2024-02-02 15:00:00.000,"452,000,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,04,04,AZ,ARIZONA,,,,,,,,00000000,,,9000,UNITED STATES,ARIZONA,2022,MONTHLY,04,04,APR,,2024-02-02 15:00:00.000,"433,000,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,MILK,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,04,04,AZ,ARIZONA,,,,,,,,00000000,,,9000,UNITED STATES,ARIZONA,2022,MONTHLY,04,06,APR THRU JUN,,2024-02-02 15:00:00.000,"1,264,000,000",
