source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%)
SURVEY,ANIMALS & PRODUCTS,DAIRY,YOGURT,PLAIN & FLAVORED,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"YOGURT, PLAIN & FLAVORED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,00000000,,,9000,UNITED STATES,OTHER STATES,2023,ANNUAL,00,00,YEAR,,2025-04-25 15:00:00.000,"3,475,819,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,YOGURT,PLAIN & FLAVORED,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"YOGURT, PLAIN & FLAVORED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,06,06,CA,CALIFORNIA,,,,,,,,00000000,,,9000,UNITED STATES,CALIFORNIA,2023,ANNUAL,00,00,YEAR,,2025-04-25 15:00:00.000,"223,178,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,YOGURT,PLAIN & FLAVORED,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"YOGURT, PLAIN & FLAVORED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,36,36,NY,NEW YORK,,,,,,,,00000000,,,9000,UNITED STATES,NEW YORK,2023,ANNUAL,00,00,YEAR,,2025-04-25 15:00:00.000,"891,534,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,YOGURT,PLAIN & FLAVORED,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,PLANTS,"YOGURT, PLAIN & FLAVORED - PRODUCTION, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,00000000,,,9000,UNITED STATES,OTHER STATES,2023,ANNUAL,00,00,YEAR,,2025-04-25 15:00:00.000,104,
SURVEY,ANIMALS & PRODUCTS,DAIRY,YOGURT,PLAIN & FLAVORED,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,PLANTS,"YOGURT, PLAIN & FLAVORED - PRODUCTION, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,STATE,06,06,CA,CALIFORNIA,,,,,,,,00000000,,,9000,UNITED STATES,CALIFORNIA,2023,ANNUAL,00,00,YEAR,,2025-04-25 15:00:00.000,15,
SURVEY,ANIMALS & PRODUCTS,DAIRY,YOGURT,PLAIN & FLAVORED,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,PLANTS,"YOGURT, PLAIN & FLAVORED - PRODUCTION, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,STATE,36,36,NY,NEW YORK,,,,,,,,00000000,,,9000,UNITED STATES,NEW YORK,2023,ANNUAL,00,00,YEAR,,2025-04-25 15:00:00.000,36,
SURVEY,ANIMALS & PRODUCTS,DAIRY,YOGURT,PLAIN & FLAVORED,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"YOGURT, PLAIN & FLAVORED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,00000000,,,9000,UNITED STATES,OTHER STATES,2024,ANNUAL,00,00,YEAR,,2026-04-24 15:00:00.000,"3,671,883,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,YOGURT,PLAIN & FLAVORED,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"YOGURT, PLAIN & FLAVORED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,06,06,CA,CALIFORNIA,,,,,,,,00000000,,,9000,UNITED STATES,CALIFORNIA,2024,ANNUAL,00,00,YEAR,,2026-04-24 15:00:00.000,"219,590,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,YOGURT,PLAIN & FLAVORED,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"YOGURT, PLAIN & FLAVORED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,STATE,36,36,NY,NEW YORK,,,,,,,,00000000,,,9000,UNITED STATES,NEW YORK,2024,ANNUAL,00,00,YEAR,,2026-04-24 15:00:00.000,"983,006,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,YOGURT,PLAIN & FLAVORED,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,PLANTS,"YOGURT, PLAIN & FLAVORED - PRODUCTION, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,00000000,,,9000,UNITED STATES,OTHER STATES,2024,ANNUAL,00,00,YEAR,,2026-04-24 15:00:00.000,104,
