commodity,model,feature,importance
Cheese,random_forest,total_production,0.1976132975301676
Cheese,random_forest,rolling_3_mean,0.14856952765773948
Cheese,random_forest,rolling_5_mean,0.1391722176920816
Cheese,random_forest,production_lag_1,0.11379625361263689
Cheese,random_forest,expanding_mean_to_date,0.08885058946690798
Cheese,random_forest,state_share_of_commodity,0.07226795514747165
Cheese,random_forest,production_lag_2,0.07013946326871674
Cheese,random_forest,production_rank_in_commodity_year,0.05804115458303658
Cheese,random_forest,production_lag_3,0.051511522280819615
Cheese,random_forest,years_observed_so_far,0.016840023302673084
Cheese,random_forest,Year,0.010080754055242112
Cheese,random_forest,State_MASSACHUSETTS,0.007203244571611039
Cheese,random_forest,State_WISCONSIN,0.006169074366027938
Cheese,random_forest,yoy_pct_change,0.005705173091354162
Cheese,random_forest,State_RHODE ISLAND,0.003047415298137136
Cheese,random_forest,State_MINNESOTA,0.0015255851708616407
Cheese,random_forest,State_CALIFORNIA,0.0014069190180706064
Cheese,random_forest,State_NEW YORK,0.0011099288026588246
Cheese,random_forest,State_CONNECTICUT,0.0008570296999049729
Cheese,random_forest,State_MONTANA,0.0005011219764729855
Cheese,random_forest,State_IOWA,0.0005006996263537568
Cheese,random_forest,State_VIRGINIA,0.0004839582502525226
Cheese,random_forest,State_ILLINOIS,0.00042201505287325393
Cheese,random_forest,State_ALABAMA,0.0003535264318408414
Cheese,random_forest,State_SOUTH DAKOTA,0.00034885861804346933
Cheese,random_forest,State_OHIO,0.0003364596960217639
Cheese,random_forest,State_PENNSYLVANIA,0.00027231327823014264
Cheese,random_forest,State_NEW JERSEY,0.0002546361904729681
Cheese,random_forest,State_MISSOURI,0.0002481166138965223
Cheese,random_forest,State_NEW MEXICO,0.0002210568446351957
Cheese,random_forest,State_ARKANSAS,0.00020570364796462754
Cheese,random_forest,State_MISSISSIPPI,0.00020563517465540233
Cheese,random_forest,State_NORTH DAKOTA,0.0001909793591867614
Cheese,random_forest,State_TENNESSEE,0.0001881082549338916
Cheese,random_forest,State_VERMONT,0.0001845980557460832
Cheese,random_forest,State_IDAHO,0.0001636655226254153
Cheese,random_forest,State_KANSAS,0.0001559002776171811
Cheese,random_forest,State_NEBRASKA,0.00015280173388307013
Cheese,random_forest,State_UTAH,0.000146661194958091
Cheese,random_forest,State_KENTUCKY,0.00011979121896936446
Cheese,random_forest,State_OREGON,0.00010124615067752176
Cheese,random_forest,State_WASHINGTON,7.154039651242909e-05
Cheese,random_forest,State_INDIANA,6.563981350558196e-05
Cheese,random_forest,State_COLORADO,5.414315111254477e-05
Cheese,random_forest,State_TEXAS,5.3172979824579584e-05
Cheese,random_forest,State_MICHIGAN,3.4699701131295316e-05
Cheese,random_forest,State_OKLAHOMA,3.443388378159708e-05
Cheese,random_forest,State_LOUISIANA,2.1388287701554172e-05
Cheese,random_forest,commodity_Cheese,0.0
Cheese,xgboost,total_production,0.5649901628494263
Cheese,xgboost,rolling_3_mean,0.28550973534584045
Cheese,xgboost,rolling_5_mean,0.058393288403749466
Cheese,xgboost,state_share_of_commodity,0.01870974525809288
Cheese,xgboost,State_COLORADO,0.013808922842144966
Cheese,xgboost,production_rank_in_commodity_year,0.01098212692886591
Cheese,xgboost,production_lag_1,0.007054141256958246
Cheese,xgboost,State_CONNECTICUT,0.0034217997454106808
