State,commodity,latest_observed_year,forecast_year,latest_observed_production,model,forecast_production,pi_80_lower,pi_80_upper,pi_95_lower,pi_95_upper,interval_method,forecast_generated_at
ALABAMA,Honey,2023,2024,400000.0,random_forest,493025.1253755257,299121.26983189484,512533.6959214582,263188.2280880874,16947132.92100616,rf_quantile,2026-06-07T16:52:29.570130+00:00
ALABAMA,Milk,2023,2024,27000000.0,random_forest,28742998.801832363,19627882.77260138,39189438.21949157,14167277.154969528,81686268.7632615,rf_quantile,2026-06-07T16:52:29.570130+00:00
ALASKA,Honey,2022,2023,28491.0,random_forest,67326.07435563687,18451.122949425324,242305.29315063672,10717.628424212737,3189795.3603790863,rf_quantile,2026-06-07T16:52:29.570130+00:00
ARIZONA,Honey,2023,2024,1428000.0,random_forest,1696115.4933178935,1025263.1085802532,2205706.9531307756,892528.9027201906,19586367.029823318,rf_quantile,2026-06-07T16:52:29.570130+00:00
ARIZONA,Milk,2023,2024,4821000000.0,random_forest,4934698429.673333,4510823757.825372,5305644398.060155,3991028190.721502,5767283355.3677845,rf_quantile,2026-06-07T16:52:29.570130+00:00
ARKANSAS,Honey,2023,2024,874000.0,random_forest,1230881.9784257852,784877.0625046162,1653916.2239478284,674305.1988526265,19586367.029823318,rf_quantile,2026-06-07T16:52:29.570130+00:00
ARKANSAS,Milk,2023,2024,33000000.0,random_forest,35046145.67567569,20322492.805364475,76504331.98349065,16084129.381323323,105167010.08710586,rf_quantile,2026-06-07T16:52:29.570130+00:00
CALIFORNIA,Cheese,2023,2024,2493238000.0,random_forest,2591828281.169501,2444929840.559738,2628188077.7675343,2349662609.2763915,3158636741.108405,rf_quantile,2026-06-07T16:52:29.570130+00:00
CALIFORNIA,Honey,2023,2024,13650000.0,random_forest,15349054.477984793,10572847.473409314,26168598.620317858,8846853.947873149,73719479.82223001,rf_quantile,2026-06-07T16:52:29.570130+00:00
CALIFORNIA,Milk,2023,2024,40900000000.0,random_forest,38650925072.77171,37567876810.25376,41611754144.712616,25103889374.057045,41973802052.387436,rf_quantile,2026-06-07T16:52:29.570130+00:00
CALIFORNIA,Yogurt,2023,2024,223178000.0,random_forest,279462697.6849587,199847783.01450843,466361043.9437415,180580559.12687945,617119785.5295513,rf_quantile,2026-06-07T16:52:29.570130+00:00
COLORADO,Honey,2023,2024,1025000.0,random_forest,1429804.030691317,910590.3741548271,1791253.668476165,845348.7082214478,19586367.029823318,rf_quantile,2026-06-07T16:52:29.570130+00:00
COLORADO,Milk,2023,2024,5212000000.0,random_forest,5383687805.198029,4881914975.018073,5981119304.91516,4213974190.771656,6885126613.976671,rf_quantile,2026-06-07T16:52:29.570130+00:00
CONNECTICUT,Honey,2022,2023,240332.0,random_forest,215282.60948865677,158334.07285883208,283572.37450335204,91403.43937967112,339836.52914748865,rf_quantile,2026-06-07T16:52:29.570130+00:00
CONNECTICUT,Milk,2023,2024,427000000.0,random_forest,405024588.7066529,361896800.32532084,445281347.8270944,333798768.73483783,529641347.92695683,rf_quantile,2026-06-07T16:52:29.570130+00:00
DELAWARE,Honey,2022,2023,14726.0,random_forest,51829.763865120556,13891.391870098729,229520.85860088543,10488.089617311896,352342.8303938308,rf_quantile,2026-06-07T16:52:29.570130+00:00
DELAWARE,Milk,2023,2024,48100000.0,random_forest,44473115.32836649,25766093.672595818,92375492.43380277,19412912.02537914,105470903.05623129,rf_quantile,2026-06-07T16:52:29.570130+00:00
FLORIDA,Honey,2023,2024,4704000.0,random_forest,8877767.668266002,5289096.660407563,13147570.642987408,3024014.7660010024,44314802.52251229,rf_quantile,2026-06-07T16:52:29.570130+00:00
FLORIDA,Milk,2023,2024,2046000000.0,random_forest,2113841448.3907046,1916794330.4351823,2330999892.1208773,1812158045.8623285,2466617254.626566,rf_quantile,2026-06-07T16:52:29.570130+00:00
GEORGIA,Honey,2023,2024,2541000.0,random_forest,3655138.4186684648,2601619.1164205284,4584598.848032067,2125395.7660207623,23231766.807310574,rf_quantile,2026-06-07T16:52:29.570130+00:00
GEORGIA,Milk,2023,2024,1934000000.0,random_forest,1919102707.3715317,1732977617.221145,2160834230.2720203,1588244624.219249,2288140020.1663213,rf_quantile,2026-06-07T16:52:29.570130+00:00
HAWAII,Coffee,2023,2024,23310000.0,random_forest,25290861.21434651,16629904.122613993,34987760.04499152,13469053.227480657,46504675.943309456,rf_quantile,2026-06-07T16:52:29.570130+00:00
HAWAII,Honey,2022,2023,2170545.0,random_forest,2191146.609887655,1459983.0382007242,2620207.6277728467,1245357.2365072167,21939627.503385924,rf_quantile,2026-06-07T16:52:29.570130+00:00
IDAHO,Cheese,2023,2024,1012143000.0,random_forest,1106103847.5966358,949713233.6978321,1439034899.0731955,889507112.7956883,2153992937.3426538,rf_quantile,2026-06-07T16:52:29.570130+00:00
IDAHO,Honey,2023,2024,2944000.0,random_forest,3907591.348811325,2809252.6239510337,4720798.13227717,2441960.239871085,43980668.13594988,rf_quantile,2026-06-07T16:52:29.570130+00:00
IDAHO,Milk,2023,2024,16827000000.0,random_forest,17614461215.91196,14262957681.510998,24555526074.74949,12527925728.54012,32669928933.289204,rf_quantile,2026-06-07T16:52:29.570130+00:00
ILLINOIS,Cheese,2023,2024,70205000.0,random_forest,78335092.6943087,67842595.11029145,85123722.88852175,59529761.65954407,119987574.32460694,rf_quantile,2026-06-07T16:52:29.570130+00:00
ILLINOIS,Honey,2023,2024,441000.0,random_forest,557059.5821216188,317334.96282640693,828587.8217264881,264674.6765921297,16935717.9166953,rf_quantile,2026-06-07T16:52:29.570130+00:00
ILLINOIS,Milk,2023,2024,1708000000.0,random_forest,1695442792.0483994,1569896608.300014,1861490530.1642897,1377087073.0326195,1907594136.9967191,rf_quantile,2026-06-07T16:52:29.570130+00:00
INDIANA,Honey,2023,2024,477000.0,random_forest,591355.8520109234,333732.72906577215,983904.8053308803,272494.0847863317,16935717.9166953,rf_quantile,2026-06-07T16:52:29.570130+00:00
INDIANA,Milk,2023,2024,4513000000.0,random_forest,4510103522.3096075,4139821393.5130644,4935575307.559015,3668114888.6401205,5241689554.618807,rf_quantile,2026-06-07T16:52:29.570130+00:00
IOWA,Cheese,2023,2024,395804000.0,random_forest,379861060.91796803,268219423.6955824,449578847.9209238,218170704.34707057,530611807.44598144,rf_quantile,2026-06-07T16:52:29.570130+00:00
IOWA,Honey,2023,2024,2640000.0,random_forest,2734485.6462079673,1768335.4256525529,3258716.90169313,1419569.8421068056,27066110.852500223,rf_quantile,2026-06-07T16:52:29.570130+00:00
IOWA,Milk,2023,2024,5923000000.0,random_forest,5909217754.676668,5160081714.798897,6589082667.472034,4811913726.964991,7203866658.423876,rf_quantile,2026-06-07T16:52:29.570130+00:00
KANSAS,Honey,2023,2024,260000.0,random_forest,486677.74016136024,249415.82265987474,786332.971227473,166446.70203339364,16935717.9166953,rf_quantile,2026-06-07T16:52:29.570130+00:00
KANSAS,Milk,2023,2024,4175000000.0,random_forest,4109055984.829757,3587144431.6743565,4470915423.592416,2715643586.9311047,4755104294.376278,rf_quantile,2026-06-07T16:52:29.570130+00:00
KENTUCKY,Honey,2023,2024,300000.0,random_forest,391708.82845931436,189113.23598875912,626989.3506930358,149706.19100260106,16935717.9166953,rf_quantile,2026-06-07T16:52:29.570130+00:00
KENTUCKY,Milk,2023,2024,915000000.0,random_forest,899166976.7636073,761833684.9679884,1030113412.6139729,720838223.693546,1153551781.5451367,rf_quantile,2026-06-07T16:52:29.570130+00:00
LOUISIANA,Honey,2023,2024,2295000.0,random_forest,3111097.135523622,2096770.2131936003,3905748.305140363,1847180.910591691,36407867.20893363,rf_quantile,2026-06-07T16:52:29.570130+00:00
LOUISIANA,Milk,2023,2024,101000000.0,random_forest,101755630.59125191,86899814.85158983,122990952.62311907,77459666.92466885,164025426.7573716,rf_quantile,2026-06-07T16:52:29.570130+00:00
MAINE,Honey,2023,2024,216000.0,random_forest,339275.5151415092,161369.18622099955,457467.41369058297,131578.467527274,16935717.9166953,rf_quantile,2026-06-07T16:52:29.570130+00:00
MAINE,Milk,2023,2024,542000000.0,random_forest,535178335.5203431,428736994.1873264,623971153.1794224,387015259.37131584,659808732.9719305,rf_quantile,2026-06-07T16:52:29.570130+00:00
MARYLAND,Honey,2022,2023,222384.0,random_forest,201093.13711862464,132897.02258692894,278809.0018013962,98324.76401694398,330188.41053593514,rf_quantile,2026-06-07T16:52:29.570130+00:00
MARYLAND,Milk,2023,2024,846000000.0,random_forest,806052771.9959235,714338655.9569612,941629520.343213,660122812.4089673,974911928.3972183,rf_quantile,2026-06-07T16:52:29.570130+00:00
MASSACHUSETTS,Cheese,2023,2024,1111000.0,random_forest,1101146.19945292,785236.9019979995,1435599.6941830334,496400.63856404246,7760611.463941482,rf_quantile,2026-06-07T16:52:29.570130+00:00
MASSACHUSETTS,Honey,2022,2023,495799.0,random_forest,295228.6310563481,165181.56615260232,487761.2836549252,113465.18456581653,616827.2108639383,rf_quantile,2026-06-07T16:52:29.570130+00:00
MASSACHUSETTS,Milk,2023,2024,180000000.0,random_forest,166881947.61218226,148395406.14254662,199895039.812042,139768094.70652944,216750502.64951137,rf_quantile,2026-06-07T16:52:29.570130+00:00
MICHIGAN,Honey,2023,2024,3850000.0,random_forest,4893892.078997606,3576372.535046424,5722288.779609631,3010759.0274487124,43980668.13594988,rf_quantile,2026-06-07T16:52:29.570130+00:00
MICHIGAN,Milk,2023,2024,12055000000.0,random_forest,11887527115.386206,10576472650.688917,13443346576.570112,9983081598.738544,14490598286.054567,rf_quantile,2026-06-07T16:52:29.570130+00:00
MINNESOTA,Cheese,2023,2024,819400000.0,random_forest,827602892.7037574,687702981.5996966,891017560.0713863,629892903.4070376,1268075412.2113585,rf_quantile,2026-06-07T16:52:29.570130+00:00
MINNESOTA,Honey,2023,2024,6148000.0,random_forest,7858840.108199217,5069996.41933708,9453763.536876688,3450775.016986333,74247890.36247197,rf_quantile,2026-06-07T16:52:29.570130+00:00
MINNESOTA,Milk,2023,2024,10498000000.0,random_forest,10499278830.18804,9633645185.858742,11408347134.572014,9076882130.57752,12144491542.915886,rf_quantile,2026-06-07T16:52:29.570130+00:00
MISSISSIPPI,Honey,2023,2024,1050000.0,random_forest,1851364.8821268708,1109416.0316867768,3003958.6276621674,877039.4418982107,19586367.029823318,rf_quantile,2026-06-07T16:52:29.570130+00:00
MISSISSIPPI,Milk,2023,2024,74000000.0,random_forest,80396244.26374348,61716540.412024826,109807889.99263377,41806996.21964679,136571003.64188328,rf_quantile,2026-06-07T16:52:29.570130+00:00
MISSOURI,Honey,2023,2024,387000.0,random_forest,538611.6600544339,289181.47193546774,828148.3583897491,228828.7953632788,16935717.9166953,rf_quantile,2026-06-07T16:52:29.570130+00:00
MISSOURI,Milk,2023,2024,867000000.0,random_forest,904070985.4259274,752033243.9466583,1056094615.8687247,711063769.1241759,1346699167.1683338,rf_quantile,2026-06-07T16:52:29.570130+00:00
MONTANA,Honey,2023,2024,9690000.0,random_forest,10226172.528709251,7271929.275143111,13455057.751756683,6107939.081356251,43980668.13594988,rf_quantile,2026-06-07T16:52:29.570130+00:00
MONTANA,Milk,2023,2024,210000000.0,random_forest,211106767.35299695,177818305.9896411,248698193.48040527,160880544.80101147,288874062.8927331,rf_quantile,2026-06-07T16:52:29.570130+00:00
NEBRASKA,Honey,2023,2024,1584000.0,random_forest,2058650.9807635015,1230687.4391751806,2815895.7957811025,1126345.6922705201,19586367.029823318,rf_quantile,2026-06-07T16:52:29.570130+00:00
NEBRASKA,Milk,2023,2024,1340000000.0,random_forest,1337036791.1933799,1253463350.7904794,1428841427.8014734,1182408943.2467723,1523129170.53995,rf_quantile,2026-06-07T16:52:29.570130+00:00
NEVADA,Honey,2022,2023,121005.0,random_forest,189892.03900537253,107666.18163395942,318024.3197013835,57142.63380432179,397638.38828206266,rf_quantile,2026-06-07T16:52:29.570130+00:00
NEVADA,Milk,2023,2024,761000000.0,random_forest,755952524.7658377,689987580.7690134,875569641.045069,648306505.3713064,987264896.836339,rf_quantile,2026-06-07T16:52:29.570130+00:00
NEW HAMPSHIRE,Honey,2022,2023,158122.0,random_forest,127676.54956907275,40914.27278765522,261505.14018548754,25377.159921475817,332474.9359570923,rf_quantile,2026-06-07T16:52:29.570130+00:00
NEW HAMPSHIRE,Milk,2023,2024,207000000.0,random_forest,205883910.728781,173668339.0082973,246794299.95221314,155974465.157184,279722559.216005,rf_quantile,2026-06-07T16:52:29.570130+00:00
NEW JERSEY,Cheese,2023,2024,72042000.0,random_forest,73829254.35288538,58240414.56043622,93270832.81832062,45766314.07001573,130433664.41632232,rf_quantile,2026-06-07T16:52:29.570130+00:00
NEW JERSEY,Honey,2023,2024,540000.0,random_forest,603066.5617495476,353043.3435060531,772342.1937797831,302101.9278607722,16935717.9166953,rf_quantile,2026-06-07T16:52:29.570130+00:00
NEW JERSEY,Milk,2023,2024,86000000.0,random_forest,85343333.06984864,73303108.04692605,109120710.75864305,61062686.38165496,128219195.27805784,rf_quantile,2026-06-07T16:52:29.570130+00:00
NEW MEXICO,Cheese,2023,2024,995572000.0,random_forest,1083996019.490314,915108231.3462042,1373225226.4558365,765454547.9478667,2100659047.3171945,rf_quantile,2026-06-07T16:52:29.570130+00:00
NEW MEXICO,Honey,2022,2023,342073.0,random_forest,339273.66364771785,249331.68754310094,447134.14453352656,191209.10928960828,526544.2816398941,rf_quantile,2026-06-07T16:52:29.570130+00:00
NEW MEXICO,Milk,2023,2024,6663000000.0,random_forest,7557690120.574748,6615562939.786563,8266689387.178548,5542069668.822013,9365584658.385414,rf_quantile,2026-06-07T16:52:29.570130+00:00
NEW YORK,Cheese,2023,2024,828433000.0,random_forest,859683427.6616122,784279178.9316603,949785402.339648,742019460.0995039,1063024858.7630982,rf_quantile,2026-06-07T16:52:29.570130+00:00
NEW YORK,Honey,2023,2024,2378000.0,random_forest,3160301.479098371,2232331.950539384,3479179.3818245907,1881253.4630135018,23231766.807310574,rf_quantile,2026-06-07T16:52:29.570130+00:00
NEW YORK,Milk,2023,2024,16060000000.0,random_forest,16707230763.889132,13496158101.93576,24009060266.907387,10633416818.146662,31671092035.41353,rf_quantile,2026-06-07T16:52:29.570130+00:00
NEW YORK,Yogurt,2023,2024,891534000.0,random_forest,825317557.7409713,632313965.5995797,1004989704.9054183,407461929.18483627,1682350854.9628758,rf_quantile,2026-06-07T16:52:29.570130+00:00
NORTH CAROLINA,Honey,2023,2024,484000.0,random_forest,632227.4334016212,358247.8746225019,990506.9592346618,313122.0538614971,16935717.9166953,rf_quantile,2026-06-07T16:52:29.570130+00:00
NORTH CAROLINA,Milk,2023,2024,894000000.0,random_forest,892035367.3826938,760972691.7204638,978308543.9800563,715354245.4150755,1090680070.3888912,rf_quantile,2026-06-07T16:52:29.570130+00:00
NORTH DAKOTA,Honey,2023,2024,38250000.0,random_forest,36290796.12217606,28309106.145454515,42725171.71834564,17966752.34366107,74220885.4090539,rf_quantile,2026-06-07T16:52:29.570130+00:00
NORTH DAKOTA,Milk,2023,2024,270000000.0,random_forest,264670730.2952077,209008241.08272266,339953632.2539522,189330194.45815215,344703035.58300304,rf_quantile,2026-06-07T16:52:29.570130+00:00
OHIO,Cheese,2023,2024,254705000.0,random_forest,262083978.42751878,215969441.5714147,294465772.3040536,189601478.68363413,338284453.7020105,rf_quantile,2026-06-07T16:52:29.570130+00:00
OHIO,Honey,2023,2024,1300000.0,random_forest,1623888.7006119252,970495.87282838,2200052.9541869615,842668.9660305607,23231766.807310574,rf_quantile,2026-06-07T16:52:29.570130+00:00
OHIO,Milk,2023,2024,5658000000.0,random_forest,5541786218.839932,5213050297.393262,5895949843.470882,4758466284.960593,6391571754.625592,rf_quantile,2026-06-07T16:52:29.570130+00:00
OKLAHOMA,Honey,2022,2023,234008.0,random_forest,202378.8201083431,137614.63110457663,293564.83540347376,110101.84599362155,343019.08610693854,rf_quantile,2026-06-07T16:52:29.570130+00:00
OKLAHOMA,Milk,2023,2024,690000000.0,random_forest,670868186.5576771,610282228.3994071,724651286.6017828,520636409.69222826,749818578.2357123,rf_quantile,2026-06-07T16:52:29.570130+00:00
OREGON,Honey,2023,2024,3330000.0,random_forest,3603326.6998549784,2478751.658772679,4388583.612976847,2083525.1724237644,43980668.13594988,rf_quantile,2026-06-07T16:52:29.570130+00:00
OREGON,Milk,2023,2024,2554000000.0,random_forest,2556180110.4950867,2437279422.0199957,2697804033.02441,2277410691.936344,2838496653.7201567,rf_quantile,2026-06-07T16:52:29.570130+00:00
PENNSYLVANIA,Cheese,2023,2024,521050000.0,random_forest,520167910.27653676,409369257.81311816,648209814.1109506,388724479.7076195,781935971.9657202,rf_quantile,2026-06-07T16:52:29.570130+00:00
PENNSYLVANIA,Honey,2023,2024,1100000.0,random_forest,1448964.9108606975,887664.9134387538,2014427.3030835486,769007.3803459556,19586367.029823318,rf_quantile,2026-06-07T16:52:29.570130+00:00
PENNSYLVANIA,Milk,2023,2024,9859000000.0,random_forest,10226607307.123953,9623092433.867678,10815077762.558615,8727925550.357145,11635225567.216747,rf_quantile,2026-06-07T16:52:29.570130+00:00
RHODE ISLAND,Honey,2022,2023,68208.0,random_forest,78818.85728716,26141.263023191605,241663.86061369535,19065.27419756379,384190.73398205277,rf_quantile,2026-06-07T16:52:29.570130+00:00
RHODE ISLAND,Milk,2023,2024,9600000.0,random_forest,9483976.498493029,5156337.449118934,15972179.254770165,3243455.4861722016,19121857.977816556,rf_quantile,2026-06-07T16:52:29.570130+00:00
